Index,Name,PUBCHEM_COMPOUND_CID,ACTIVITY,ALogP98,ES_Sum_dO,ES_Sum_dssC,ES_Sum_sOH,ES_Sum_ssCH2,ES_Sum_ssO,ES_Sum_sssCH,ES_Count_dssC,ES_Count_sCH3,Molecular_Solubility,Num_DoubleBonds,Num_H_Acceptors,Molecular_FractionalPolarSurfaceArea,CIC,IAC_Mean,IC,JX,Wiener,SC_3_P
14,61527,"61,527",Non-Bitter,0.964,10.819,0.064,0,0,0,0,1,3,-2.138,3,1,0.194,0.67548,1.36096,2.64643,3.03607,113,16
15,520191,"520,191",Non-Bitter,1.432,10.886,0.168,0,0,0,0,1,3,-2.914,3,1,0.275,0.67548,1.46096,2.64643,3.05039,113,16
16,61918,"61,918",Non-Bitter,0.646,10.922,-0.019,0,0.752,0,0,1,2,-1.781,4,3,0.257,0.36363,1.57235,3.09579,3.01009,150,17
17,32093,"32,093",Non-Bitter,-0.021,10.763,-0.037,0,0,0,0,1,2,-1.406,4,3,0.284,0.59999,1.63373,2.72192,3.03168,114,15
18,14505,"14,505",Non-Bitter,0.965,10.412,-0.033,0,0,0,0,1,1,-1.257,3,1,0.258,0.5,1.44881,2.5,2.79306,62,11
19,14514,"14,514",Non-Bitter,1.11,10.564,-0.025,0,0,0,0,1,2,-1.707,3,1,0.222,0.44444,1.40208,2.72548,2.85147,87,13
20,5362572,"5,362,572",Non-Bitter,0.175,10.707,-0.023,0,0,0,0,1,2,-1.413,4,3,0.285,0.39999,1.63373,2.92192,2.95088,117,14
21,14286,"14,286",Non-Bitter,0.847,10.582,0.009,0,0,0,0,1,1,-1.416,4,2,0.23,0.75054,1.54356,2.41938,2.89656,88,12
22,9589,"9,589",Non-Bitter,0.419,10.605,0.058,0,0,0,0,1,1,-1.414,4,2,0.229,0.75054,1.54356,2.41938,2.90338,88,12
23,520108,"520,108",Non-Bitter,0.34,10.454,0.041,0,0,0,0,1,1,-1.351,3,2,0.456,0.5,1.91434,2.5,2.75831,62,11
24,444212,"444,212",Non-Bitter,-4.759,30.137,-5.062,24.537,-0.804,0,0,4,0,-1.318,4,6,0.649,0.79248,1.52192,2.79248,4.29118,211,12
25,196,196,Non-Bitter,-2.395,19.793,-1.74,16.262,1.017,0,0,2,0,-0.781,2,4,0.492,1,1.53049,2.32192,2.91248,151,7
26,71571511,"71,571,511",Non-Bitter,-2.369,0,0,39.735,-0.17,27.454,-8.282,0,2,0.14,0,9,0.406,1.43563,1.47221,3.08792,1.59929,"1,130",53
27,239,239,Non-Bitter,-3.397,9.559,-0.774,7.873,0.662,0,0,1,0,0.395,1,2,0.616,-1.00E-05,1.66918,2.58496,2.6637,32,3
28,24116,"24,116",Non-Bitter,1.555,11.274,-0.419,0,0.201,4.821,0,1,0,-2.212,5,3,0.281,0.30769,1.53191,3.39274,2.66722,262,19
29,16324,"16,324",Non-Bitter,1.761,10.531,-0.142,0,1.683,4.674,0,1,1,-1.446,2,2,0.176,0.22222,1.31274,2.9477,2.98862,108,7
30,15834,"15,834",Non-Bitter,2.77,11.018,-0.353,0,0.247,4.769,0,1,0,-3.407,6,2,0.134,0.62534,1.31432,3.182,2.40836,367,17
31,22034852,"22,034,852",Non-Bitter,3.009,11.2,-0.064,0,7.238,4.936,0.574,1,0,-2.992,2,2,0.135,0.73152,1.24089,2.96891,2.07429,286,16
32,61405,"61,405",Non-Bitter,3.922,11.173,-0.078,0,9.994,4.923,0.866,1,0,-4.041,2,2,0.116,1.19999,1.20369,2.70689,1.94036,462,18
33,61406,"61,406",Non-Bitter,4.834,11.196,-0.081,0,12.855,4.93,0.968,1,0,-5.122,2,2,0.102,1.50057,1.17475,2.58688,1.8517,698,20
34,17617,"17,617",Non-Bitter,3.465,11.174,-0.074,0,8.594,4.925,0.763,1,0,-3.51,2,2,0.125,1.05392,1.22104,2.75343,2.00019,367,17
35,61407,"61,407",Non-Bitter,4.378,11.183,-0.08,0,11.418,4.926,0.928,1,0,-4.579,2,2,0.108,1.3506,1.18837,2.64939,1.89169,572,19
36,226486,"226,486",Non-Bitter,2.563,0,0,9.605,0.715,10.02,0,0,2,-2.412,4,3,0.185,0.57142,1.37479,3.23592,3.04298,301,23
37,16590,"16,590",Non-Bitter,2.619,0,0,0,2.052,0,0,0,0,-2.596,2,2,0.324,1,1.35164,2,2.53134,84,5
38,61408,"61,408",Non-Bitter,2.679,11.094,-0.102,0,2.036,4.878,0.064,1,2,-2.176,2,2,0.144,0.36363,1.2538,3.09579,3.53414,176,12
39,61337,"61,337",Non-Bitter,1.697,10.9,-0.463,0,0.207,4.684,0,1,0,-1.841,4,2,0.253,0.36363,1.47135,3.09579,2.3448,171,15
40,8878,"8,878",Non-Bitter,3.129,10.895,-0.106,0,5.361,4.814,0,1,1,-2.893,2,2,0.133,0.5629,1.23095,3.02205,3.0179,262,10
41,31266,"31,266",Non-Bitter,2.673,10.806,-0.113,0,4.052,4.78,0,1,1,-2.387,2,2,0.145,0.36363,1.2538,3.09579,3.01976,200,9
42,6612,"6,612",Non-Bitter,4.349,11.608,1.604,0,3.704,0,0.406,2,3,-5.106,4,1,0.064,0.51499,1.11269,3.57246,2.65677,566,26
43,17816,"17,816",Non-Bitter,2.012,10.742,-0.144,0,0.818,4.744,0.372,1,2,-1.723,2,2,0.157,0.19999,1.28067,3.12192,3.18494,142,8
44,13367,"13,367",Non-Bitter,1.23,0,0,0,0.777,0,0,0,0,0.315,1,1,0.426,0,1.29546,2,2.22835,10,1
45,62434,"62,434",Non-Bitter,2.002,0,0,0,1.056,0,0,0,1,-1.695,1,2,0.389,-1.00E-05,1.37878,2.58496,2.28819,35,3
46,61926,"61,926",Non-Bitter,2.593,0,0,0,1.047,0,0,0,1,-2.152,1,3,0.488,0.28571,1.45656,2.52164,2.29769,56,4
47,61410,"61,410",Non-Bitter,4.041,11.02,-0.097,0,8.097,4.861,0,1,1,-3.939,2,2,0.114,0.97211,1.19417,2.83523,3.009,423,12
48,20219,"20,219",Non-Bitter,3.585,10.964,-0.101,0,6.714,4.84,0,1,1,-3.411,2,2,0.123,0.76923,1.21129,2.9312,3.01355,336,11
49,24117,"24,117",Non-Bitter,2.137,10.98,-0.395,0,0.147,9.886,0,1,0,-2.411,5,3,0.181,0.82212,1.39935,2.98522,2.15919,367,17
50,15717,"15,717",Non-Bitter,2.337,11.101,-0.217,0,0.611,4.838,0,1,0,-2.749,5,2,0.143,0.5196,1.32092,3.18083,2.33627,286,16
51,61319,"61,319",Non-Bitter,1.304,10.3,-0.176,0,0.764,4.583,0,1,1,-1.047,2,2,0.197,0,1.35164,3,2.92084,76,6
52,6435833,"6,435,833",Non-Bitter,2.205,10.686,-0.345,0,0.262,4.66,0,1,1,-2.531,4,2,0.151,0.18181,1.32578,3.27761,3.44077,200,9
53,11617,"11,617",Non-Bitter,2.028,0,0,0,2.067,0,0,0,0,-2.142,2,1,0.193,0.85714,1.22104,1.95021,2.57493,56,4
54,16220107,"16,220,107",Non-Bitter,2.203,0,0.657,0,1.343,4.953,0,1,1,-2.725,2,2,0.283,0,1.46275,3,2.93147,76,6
55,5364729,"5,364,729",Non-Bitter,2.184,10.794,0.351,0,0.281,4.718,0,2,2,-1.793,3,2,0.159,-1.00E-05,1.32217,3.32192,3.56388,137,10
56,61412,"61,412",Non-Bitter,4.563,11.094,-0.105,0,9.044,4.882,0,1,0,-4.796,3,2,0.102,1.46936,1.18837,2.53063,3.02814,640,14
57,14220,"14,220",Non-Bitter,-3.322,10.091,-0.805,8.302,1.572,0,-0.429,1,2,-0.75,1,2,0.409,0.67548,1.63443,2.64643,3.18544,136,9
58,4,4,Non-Bitter,-1.815,0,0,8.298,0.611,0,-0.227,0,1,0.542,0,1,0.479,0.4,1.37527,1.92192,2.42593,18,2
59,10103158,"10,103,158",Non-Bitter,-0.304,9.809,-0.713,8.083,0.277,0,0.275,1,2,-0.746,1,2,0.319,0.28571,1.36631,2.52164,3.00591,48,4
60,6276,"6,276",Non-Bitter,1.426,0,0,8.197,3.681,0,0,0,1,-0.928,0,1,0.179,0.99999,1.13496,1.58496,2.29157,35,3
61,10890,"10,890",Non-Bitter,2.929,10.783,-0.053,0,5.377,4.945,0,1,2,-2.438,1,2,0.14,0.97771,1.21701,2.48171,2.90884,202,9
62,1623625,"1,623,625",Non-Bitter,4.22,10.835,0.897,0,4.386,0,0,1,1,-4.557,5,1,0.077,0.58365,1.15464,3.32323,2.55678,428,19
63,6005821,"6,005,821",Non-Bitter,4.441,0,1.208,0,4.669,10.748,-0.235,1,3,-4.921,4,2,0.066,0.86165,1.20091,3.30827,2.71286,662,25
64,5368491,"5,368,491",Non-Bitter,3.964,0,1.134,9.218,4.837,0,0,1,1,-4.242,4,1,0.089,0.71699,1.13666,3.18989,2.51865,428,19
65,6435834,"6,435,834",Non-Bitter,4.264,10.242,1.177,0,4.968,4.849,0,1,1,-4.705,5,2,0.105,0.63264,1.23534,3.45482,2.5546,602,21
66,61414,"61,414",Non-Bitter,5.718,11.69,1.103,0,5.476,5.41,0.346,2,3,-5.989,5,2,0.082,0.73856,1.17967,3.65375,2.54778,"1,084",26
67,12529,"12,529",Non-Bitter,1.727,9.545,0,0,3.891,4.455,0,0,1,-1.426,1,2,0.192,0.59436,1.29546,2.40563,2.48313,84,5
68,61415,"61,415",Non-Bitter,4.297,11.147,-0.017,0,9.135,5.085,0,1,2,-3.901,1,2,0.112,1.53641,1.16743,2.27094,3.00788,419,12
69,10886,"10,886",Non-Bitter,3.841,11.058,-0.024,0,7.806,5.051,0,1,2,-3.391,1,2,0.12,1.35458,1.18181,2.34585,2.99049,334,11
70,53435896,"53,435,896",Non-Bitter,1.846,10.591,-0.235,0,5.207,10.119,0.147,1,1,-1.794,1,3,0.195,0.72957,1.33291,2.85538,1.9442,232,15
71,522459,"522,459",Non-Bitter,3.17,0,0,0,5.457,0,0,0,2,-2.995,0,2,0.302,1.5,1.24067,1.5,2.39356,84,5
72,61185,"61,185",Non-Bitter,4.753,11.216,-0.012,0,10.504,5.111,0,1,2,-4.423,1,2,0.105,1.71009,1.15469,2.19679,3.01752,518,13
73,637563,"637,563",Non-Bitter,2.767,0,0,0,0,5.023,0,0,2,-2.933,4,1,0.056,0.72727,1.20883,2.73215,2.77361,170,15
74,11559,"11,559",Non-Bitter,0.404,10.179,0.585,0,0.45,4.583,0,2,1,-0.327,2,2,0.264,-1.00E-05,1.46048,2.80735,2.44525,41,9
75,7519,"7,519",Non-Bitter,1.813,0,0,0,0,4.914,0,0,1,-1.448,3,1,0.079,0.84436,1.27178,2.15563,2.75587,64,10
76,7695,"7,695",Non-Bitter,1.588,10.493,-0.268,0,0.318,9.808,0,1,2,-2.253,4,3,0.187,0.92307,1.4041,2.77736,2.43515,284,17
77,7738,"7,738",Non-Bitter,1.209,0,0,8.66,0.087,4.932,0,0,1,-1.414,3,2,0.199,1.39999,1.36096,1.92192,2.7172,125,14
78,61054,"61,054",Non-Bitter,1.509,9.854,0,0,0.312,9.534,0,0,1,-1.918,4,3,0.207,0.83333,1.43654,2.75162,2.47461,226,16
79,7599,"7,599",Non-Bitter,3.287,11.661,-0.221,0,0.589,10.291,0,1,1,-4.209,7,3,0.138,1.42208,1.33628,2.82584,1.76872,854,29
80,61417,"61,417",Non-Bitter,2.255,10.861,-0.18,0,0.742,9.979,0,1,2,-2.52,4,3,0.172,1.14285,1.37479,2.66449,2.37562,355,19
81,5460291,"5,460,291",Non-Bitter,-2.28,9.763,0,34.055,-0.689,0,-4.718,0,0,0.255,1,5,0.619,0.67548,1.5,2.64643,3.56147,125,12
82,54670067,"54,670,067",Non-Bitter,-2.412,10.532,-2.779,35.045,-0.672,4.315,-2.777,3,0,-0.089,2,6,0.647,0.16666,1.58103,3.41829,2.61088,188,22
83,5960,"5,960",Non-Bitter,-5.254,19.719,-2.325,16.134,-0.422,0,-1.04,2,0,-0.087,2,4,0.719,0.44444,1.80623,2.72548,3.4049,96,8
84,460,460,Non-Bitter,1.571,0,0,8.985,0,4.794,0,0,1,-1.044,3,2,0.226,0.44444,1.40208,2.72548,2.89677,86,13
85,62375,"62,375",Non-Bitter,1.702,0,0,0,0,10.126,-0.24,0,2,-1.933,3,2,0.111,0.97771,1.32578,2.48171,2.62914,158,16
86,5463840,"5,463,840",Non-Bitter,0.644,0,-0.228,26.774,-0.478,0,-1.195,1,0,-1.695,4,3,0.327,0.5196,1.4041,3.18083,2.69733,268,18
87,595928,"595,928",Non-Bitter,1.898,0,0,0,0.694,10.954,0.065,0,1,-1.844,3,2,0.114,0.72957,1.32501,2.85538,2.03176,197,21
88,7969,"7,969",Non-Bitter,1.678,0,0,0,0,0,0,0,0,-0.9,3,1,0.209,0.96498,1.32501,1.84237,2.98321,42,8
89,3102,"3,102",Non-Bitter,3.234,11.846,0.075,0,0,0,0,1,0,-3.582,7,1,0.095,1.82212,1.19642,1.98522,2.32631,307,24
90,7222,"7,222",Non-Bitter,2.264,0,0,0,0,0,0,0,0,-2.617,4,1,0.33,1.63943,1.57441,1.53049,2.85802,79,17
91,142266,"142,266",Non-Bitter,2.004,20.326,-0.732,0,0.229,4.656,0,2,1,-2.393,5,3,0.308,0.7682,1.40936,3.03914,2.25507,356,17
92,244,244,Non-Bitter,1.225,0,0,8.537,0.139,0,0,0,0,-1.24,3,1,0.175,0.84436,1.27178,2.15563,2.80101,64,10
93,2345,"2,345",Non-Bitter,3.268,11.595,-0.288,0,0.314,5.175,0,1,0,-3.729,7,2,0.126,1.59436,1.29583,2.40563,1.89529,496,25
94,61134,"61,134",Non-Bitter,2.962,0,0,0,3.993,5.46,0,0,1,-3.258,3,1,0.05,0.95914,1.16257,2.62581,2.10794,242,14
95,7650,"7,650",Non-Bitter,2.727,10.994,-0.12,0,1.736,5.029,0,1,1,-2.761,4,2,0.139,0.88536,1.29723,2.81507,2.23681,290,16
96,5273469,"5,273,469",Non-Bitter,3.736,11.48,-0.331,0,0.304,5.124,0,1,0,-4.724,8,2,0.111,1.52832,1.27178,2.6416,1.80052,745,26
97,61402,"61,402",Non-Bitter,3.597,11.477,1.442,0,0.337,5.154,0,3,3,-3.22,5,2,0.117,0.90065,1.27336,3.00623,2.45061,416,21
98,9012,"9,012",Non-Bitter,4.552,0,0,0,2.163,0,0,0,0,-5.605,6,2,0.214,1.84436,1.28669,2.15563,1.65061,544,23
99,10873,"10,873",Non-Bitter,1.982,0,0,0,1.52,5.219,0,0,1,-2.268,3,1,0.061,0.67548,1.20721,2.64643,2.37126,133,12
100,7708,"7,708",Non-Bitter,1.525,9.755,0,0,0.365,4.538,0,0,0,-1.754,4,2,0.189,0.67548,1.39214,2.64643,2.42147,133,12
101,5463905,"5,463,905",Non-Bitter,4.093,11.778,0.42,0,3.541,0,0.215,1,2,-4.221,4,1,0.075,0.58365,1.13666,3.32323,2.55312,398,21
102,23367,"23,367",Non-Bitter,3.64,11.268,-0.091,0,4.1,5.135,0,1,1,-3.701,4,2,0.118,0.90065,1.25153,3.00623,2.10592,458,18
103,7646,"7,646",Non-Bitter,2.733,11.093,-0.15,0,0.372,5.05,-0.053,1,2,-2.737,4,2,0.137,0.82729,1.29723,2.87314,2.32281,280,17
104,7651,"7,651",Non-Bitter,2.979,11.204,-0.122,0,0.874,5.099,0.359,1,2,-3.043,4,2,0.127,0.7682,1.2729,3.03914,2.23742,356,17
105,7509,"7,509",Non-Bitter,2.196,0,0,0,0.834,0,0,0,0,-1.085,3,1,0.296,0.84436,1.27178,2.15563,2.80659,64,10
106,22235151,"22,235,151",Non-Bitter,1.532,0,0,0,1.736,15.728,-0.195,0,2,-2.69,3,3,0.121,0.71699,1.32217,3.18989,2.03297,458,18
107,13016,"13,016",Non-Bitter,2.378,0,0,0,1.125,0,0,0,1,-2.743,3,1,0.174,0.75054,1.23638,2.41938,2.56948,94,11
108,60999,"60,999",Non-Bitter,3.303,11.563,-0.195,0,0.666,5.193,0,1,0,-4.064,7,2,0.117,1.61822,1.27979,2.46924,1.78051,612,25
109,31219,"31,219",Non-Bitter,2.271,10.762,-0.154,0,0.819,4.938,0,1,1,-2.363,4,2,0.151,0.72957,1.32501,2.85538,2.30777,226,15
110,8363,"8,363",Non-Bitter,3.026,11.656,-0.522,9.477,0.202,5.096,0,1,0,-3.252,7,3,0.21,1.27115,1.37255,2.8163,1.95067,572,28
111,5281163,"5,281,163",Non-Bitter,1.916,10.683,0.441,0,0.448,4.687,0,2,3,-1.381,2,2,0.17,0,1.31274,3.16992,3.56078,98,9
112,7095,"7,095",Non-Bitter,3.348,0,0,0,0,0,0,0,0,-3.679,6,0,0,2.12581,0.99403,1.45914,2.45714,198,20
113,64685,"64,685",Non-Bitter,1.975,0,0,9.814,3.607,0,0.748,0,3,-2.359,0,1,0.118,0.43226,1.12425,3.02716,2.37598,123,31
114,6448,"6,448",Non-Bitter,2.354,11.007,-0.126,0,3.59,5.444,0.907,1,4,-3.119,1,2,0.123,0.71428,1.22104,3.09306,2.17531,269,35
115,518472,"518,472",Non-Bitter,2.275,10.368,0,0,3.59,5.194,0.917,0,3,-2.808,1,2,0.135,0.67345,1.24089,3.02698,2.21963,215,34
116,6432702,"6,432,702",Non-Bitter,3.729,11.816,-0.005,0,4.149,5.755,1.285,1,5,-4.09,1,2,0.1,0.63264,1.17475,3.45482,1.98669,505,39
117,61829,"61,829",Non-Bitter,1.946,0,0,0,2.006,0,0.493,0,1,0.67,0,2,0.549,0.66666,1.29879,1.91829,2.65081,31,4
118,520119,"520,119",Non-Bitter,1.485,0,0,0,2.052,0,0.516,0,1,0.659,0,2,0.549,0.33333,1.29879,2.25162,2.53377,32,3
119,548353,"548,353",Non-Bitter,1.8,0,0,0,0,0,0.82,0,2,0.851,0,2,0.544,1.66666,1.29879,0.91829,2.87935,29,4
120,8012,"8,012",Non-Bitter,1.941,0,0,0,3.558,0,0,0,1,-0.294,0,1,0.345,0.8,1.15893,1.52192,2.14272,20,2
121,6569,"6,569",Non-Bitter,0.562,9.812,0.254,0,0.666,0,0,1,2,-0.467,1,1,0.181,0,1.2389,2.32192,2.75341,18,2
122,31272,"31,272",Non-Bitter,1.349,10.096,-0.182,0,2.623,4.643,0,1,2,-1.248,1,2,0.189,0.25,1.29546,2.75,2.66055,79,5
123,11576,"11,576",Non-Bitter,1.749,19.849,-0.642,0,2.291,4.511,0,2,2,-1.538,2,3,0.34,0.36363,1.38243,3.09579,3.12203,192,9
124,263,263,Non-Bitter,0.97,0,0,8.066,2.381,0,0,0,1,-0.422,0,1,0.209,0.8,1.15893,1.52192,2.13225,20,2
125,8007,"8,007",Non-Bitter,-0.324,0,0,0,3.652,0,0,0,1,-0.485,0,0,0.269,0.8,1.08631,1.52192,2.15863,20,2
126,24433,"24,433",Non-Bitter,2.267,11.438,-0.337,0,2.36,5.03,0,1,1,-2.648,4,3,0.252,0.42857,1.45601,3.37878,2.47712,336,20
127,8456,"8,456",Non-Bitter,2.971,0,0,9.61,0,5.093,0,0,4,-2.822,3,2,0.142,0.76923,1.26992,2.9312,3.1155,234,21
128,53424302,"53,424,302",Non-Bitter,2.732,10.173,0.927,0,3.222,0,0,1,2,-2.247,2,1,0.11,0,1.16256,3.16992,3.40156,104,8
129,7983,"7,983",Non-Bitter,2.472,10.695,-0.06,0,4.096,4.883,0,1,2,-1.942,1,2,0.154,0.79999,1.2389,2.52192,2.90548,150,8
130,24114,"24,114",Non-Bitter,2.664,22.316,-0.815,0,3.256,9.776,-0.791,2,3,-2.597,2,4,0.217,0.66666,1.34378,3.24022,3.50723,448,16
131,5385520,"5,385,520",Non-Bitter,3.764,10.746,0.887,0,3.089,0,0,1,1,-4.047,5,1,0.083,0.48249,1.17003,3.32486,2.66268,343,18
132,10861,"10,861",Non-Bitter,3.481,11.182,-0.271,0,2.467,4.978,0,1,1,-3.869,5,2,0.121,0.71699,1.27336,3.18989,2.28166,458,18
133,61771,"61,771",Non-Bitter,2.941,11.394,0.519,0,5.533,0,1.01,1,2,-2.57,1,1,0.099,0.18181,1.12425,3.27761,2.44164,152,17
134,5463906,"5,463,906",Non-Bitter,5.186,11.144,-0.193,0,9.919,5.001,0,1,2,-5.065,2,2,0.1,1.21936,1.16578,2.78063,3.18636,635,14
135,5362564,"5,362,564",Non-Bitter,2.42,0,0.819,0,1.112,0,0.975,1,4,-1.504,1,1,0.206,0.18181,1.28598,3.27761,2.44346,154,18
136,522111,"522,111",Non-Bitter,3.063,0,0,0,5.276,0,0,0,2,-2.983,0,2,0.303,1.5,1.24067,1.5,2.37252,84,5
137,17586,"17,586",Non-Bitter,1.649,0,0,0,1.961,5.19,0.449,0,3,-1.23,0,1,0.069,0.28571,1.11552,2.52164,2.70297,50,5
138,5140436,"5,140,436",Non-Bitter,2.223,20.42,-1.115,0,2.469,8.894,0,2,2,-1.743,2,4,0.338,0.92307,1.40975,2.77736,3.21567,310,12
139,11614,"11,614",Non-Bitter,1.271,9.457,0,0,2.617,4.393,0,0,1,-0.929,1,2,0.218,0.28571,1.33282,2.52164,2.40123,56,4
140,21596,"21,596",Non-Bitter,3.841,11.058,-0.024,0,7.849,5.023,0,1,2,-3.404,1,2,0.12,1.35458,1.18181,2.34585,2.99415,334,11
141,12294,"12,294",Non-Bitter,3.385,10.97,-0.031,0,6.521,4.99,0,1,2,-2.894,1,2,0.129,1.16666,1.19819,2.41829,2.98084,261,10
142,7184,"7,184",Non-Bitter,2.772,11.326,-0.335,9,2.336,4.987,0,1,1,-2.462,4,3,0.23,0.71428,1.37479,3.09306,2.391,350,19
143,642376,"642,376",Non-Bitter,3.002,11.376,0.481,0,2,5.155,0,2,1,-3.045,5,2,0.142,0.42857,1.31432,3.37878,2.33071,300,27
144,7353,"7,353",Non-Bitter,2.479,10.795,-0.09,0,2.622,4.904,0.01,1,3,-1.889,1,2,0.152,0.39999,1.2389,2.92192,3.06871,143,9
145,7981,"7,981",Non-Bitter,2.724,10.906,-0.062,0,3.185,4.954,0.406,1,3,-2.209,1,2,0.139,0.36363,1.21701,3.09579,3.08907,192,9
146,24847851,"24,847,851",Non-Bitter,1.389,10.535,-0.239,0,3.881,10.041,0.145,1,1,-1.288,1,3,0.214,0.61408,1.36154,2.84535,1.99871,174,14
147,8738,"8,738",Non-Bitter,1.162,10.545,-0.534,8.645,2.269,4.654,-0.99,1,2,-1.314,1,3,0.277,0.39999,1.34707,2.92192,3.02978,143,9
148,61015,"61,015",Non-Bitter,6.122,11.302,-0.008,0,14.901,5.115,0,1,2,-6.078,1,2,0.088,2.17884,1.12385,1.99107,3.00595,914,16
149,31210,"31,210",Non-Bitter,3.048,11.265,-0.135,0,2.922,5.047,0,1,1,-3.226,4,2,0.128,0.62534,1.2729,3.182,2.20606,364,17
150,61361,"61,361",Non-Bitter,3.252,11.416,-0.166,0,3.182,5.294,-0.002,1,1,-3.115,4,2,0.139,0.28571,1.29583,3.52164,2.15492,300,27
151,11529,"11,529",Non-Bitter,2.016,10.464,-0.094,0,3.134,4.792,0,1,2,-1.535,1,2,0.17,0.44444,1.26467,2.72548,2.81611,110,7
152,16330,"16,330",Non-Bitter,2.772,11.358,-0.462,9.336,2.233,4.95,0,1,1,-2.398,4,3,0.23,0.42857,1.37479,3.37878,2.4674,336,20
153,31278,"31,278",Non-Bitter,8.859,11.429,-0.002,0,23.682,5.162,0,1,2,-9.388,1,2,0.066,2.91666,1.08272,1.66829,3.01127,"2,215",22
154,11002,"11,002",Non-Bitter,3.452,0,0,0,8.23,0,0,0,2,-3.642,0,1,0.145,1.7344,1.08604,1.43552,2.51688,120,6
155,61027,"61,027",Non-Bitter,5.275,11.258,-0.023,0,11.556,5.092,0,1,1,-5.312,2,2,0.094,1.52941,1.15386,2.55805,3.02834,766,15
156,61137,"61,137",Non-Bitter,2.929,10.854,-0.042,0,5.255,4.945,0,1,2,-2.403,1,2,0.14,0.97771,1.21701,2.48171,2.95473,200,9
157,261,261,Non-Bitter,0.94,9.404,0,0,1.684,0,0,0,1,-0.655,1,1,0.186,0,1.2389,2.32192,2.334,20,2
158,264,264,Non-Bitter,-0.556,9.599,-0.711,7.913,1.023,0,0,1,1,-0.458,1,2,0.371,-1.00E-05,1.41955,2.58496,2.69323,32,3
159,7302,"7,302",Non-Bitter,0.276,10.02,-0.047,0,2.178,4.513,0,1,0,-0.045,1,2,0.306,0.66666,1.45914,1.91829,2.21977,26,7
160,521380,"521,380",Non-Bitter,4.744,0,3.275,0,3.957,0,3.545,2,4,-3.979,2,0,0,0.66666,0.96123,3.24022,2.24168,332,30
161,6616,"6,616",Non-Bitter,2.926,0,1.531,0,4.314,0,1.851,1,2,-2.444,1,0,0,0.59999,0.96123,2.72192,2.33676,98,25
162,61270,"61,270",Non-Bitter,2.602,10.607,1.287,0,2.657,4.97,0.626,2,4,-3.126,2,2,0.117,0.57142,1.22104,3.23592,2.3238,326,23
163,61284,"61,284",Non-Bitter,2.223,0,1.482,8.822,2.426,0,0.659,1,3,-2.304,1,1,0.111,0.43226,1.12425,3.02716,2.60216,147,20
164,230921,"230,921",Non-Bitter,2.075,11.573,0.512,0,3.252,0,0.68,1,3,-2.413,1,1,0.103,0.43226,1.15417,3.02716,2.45158,123,31
