Index,Name,PUBCHEM_COMPOUND_CID,ACTIVITY,ALogP98,ES_Sum_dO,ES_Sum_dssC,ES_Sum_sOH,ES_Sum_ssCH2,ES_Sum_ssO,ES_Sum_sssCH,ES_Count_dssC,ES_Count_sCH3,Molecular_Solubility,Num_DoubleBonds,Num_H_Acceptors,Molecular_FractionalPolarSurfaceArea,CIC,IAC_Mean,IC,JX,Wiener,SC_3_P
1,7765,"7,765",Non-Bitter,0.777,0,0,0,1.446,10.12,-0.038,0,3,-0.883,0,2,0.126,0.75,1.24067,2.25,2.69601,75,6
2,177,177,Non-Bitter,-0.183,8.805,0,0,0,0,0,0,1,0.168,1,1,0.286,-1.00E-05,1.37878,1.58496,2.04654,4,0
3,62876,"62,876",Non-Bitter,3.313,0,0,0,4.727,11.068,-0.088,0,2,-4.081,3,2,0.075,0.84436,1.21081,3.15563,1.98977,567,19
4,83036,"83,036",Non-Bitter,3.24,0,0,0,3.83,11.024,1.363,0,5,-3.227,0,2,0.075,1.6864,1.14115,2.12095,3.08772,397,12
5,108504,"108,504",Non-Bitter,2.225,0,0,0,3.537,10.557,-0.065,0,3,-2.739,1,2,0.089,0.72957,1.19819,2.85538,2.97687,265,10
6,61403,"61,403",Non-Bitter,2.857,0,0,0,3.466,10.932,-0.09,0,2,-3.585,3,2,0.08,0.71699,1.22801,3.18989,2.03266,462,18
7,176,176,Non-Bitter,-1.679,8.999,-0.834,7.416,0,0,0,1,1,0.122,1,2,0.527,0.5,1.55665,1.5,2.57006,9,0
8,7918,"7,918",Non-Bitter,-0.195,19.622,-1.125,0,0,3.972,0,2,2,-0.587,2,3,0.379,0.85714,1.52623,1.95021,3.0326,48,4
9,179,179,Non-Bitter,-0.292,9.893,-0.186,8.28,0,0,-0.788,1,2,-0.281,1,2,0.347,0.33333,1.37878,2.25162,3.1016,29,4
10,180,180,Non-Bitter,-0.104,9.444,0.166,0,0,0,0,1,2,-0.118,1,1,0.217,0.5,1.29546,1.5,2.67924,9,0
11,15908632,"15,908,632",Non-Bitter,-0.702,0,0,15.618,0,7.229,0,0,2,0.153,0,4,0.512,0.85714,1.45656,1.95021,2.99694,44,6
12,19137,"19,137",Non-Bitter,1.819,21.406,-0.148,0,1.28,4.888,0,2,2,-3.077,5,3,0.2,1.2,1.37255,2.70689,2.48506,434,19
13,61585,"61,585",Non-Bitter,4.485,11.895,0.203,0,2.192,0,0,1,6,-5.952,4,1,0.061,1.19498,1.11788,2.97493,2.69588,532,38
