0.78,0.00,0.00,0.00,1.45,10.12,-0.04,0.00,3.00,-0.88,0.00,2.00,0.13,0.75,1.24,2.25,2.70,75.00,6.00,0
-0.18,8.81,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.17,1.00,1.00,0.29,0.00,1.38,1.58,2.05,4.00,0.00,0
3.31,0.00,0.00,0.00,4.73,11.07,-0.09,0.00,2.00,-4.08,3.00,2.00,0.08,0.84,1.21,3.16,1.99,567.00,19.00,0
3.24,0.00,0.00,0.00,3.83,11.02,1.36,0.00,5.00,-3.23,0.00,2.00,0.08,1.69,1.14,2.12,3.09,397.00,12.00,0
2.23,0.00,0.00,0.00,3.54,10.56,-0.07,0.00,3.00,-2.74,1.00,2.00,0.09,0.73,1.20,2.86,2.98,265.00,10.00,0
2.86,0.00,0.00,0.00,3.47,10.93,-0.09,0.00,2.00,-3.59,3.00,2.00,0.08,0.72,1.23,3.19,2.03,462.00,18.00,0
-1.68,9.00,-0.83,7.42,0.00,0.00,0.00,1.00,1.00,0.12,1.00,2.00,0.53,0.50,1.56,1.50,2.57,9.00,0.00,0
-0.20,19.62,-1.13,0.00,0.00,3.97,0.00,2.00,2.00,-0.59,2.00,3.00,0.38,0.86,1.53,1.95,3.03,48.00,4.00,0
-0.29,9.89,-0.19,8.28,0.00,0.00,-0.79,1.00,2.00,-0.28,1.00,2.00,0.35,0.33,1.38,2.25,3.10,29.00,4.00,0
-0.10,9.44,0.17,0.00,0.00,0.00,0.00,1.00,2.00,-0.12,1.00,1.00,0.22,0.50,1.30,1.50,2.68,9.00,0.00,0
-0.70,0.00,0.00,15.62,0.00,7.23,0.00,0.00,2.00,0.15,0.00,4.00,0.51,0.86,1.46,1.95,3.00,44.00,6.00,0
1.82,21.41,-0.15,0.00,1.28,4.89,0.00,2.00,2.00,-3.08,5.00,3.00,0.20,1.20,1.37,2.71,2.49,434.00,19.00,0
4.49,11.90,0.20,0.00,2.19,0.00,0.00,1.00,6.00,-5.95,4.00,1.00,0.06,1.19,1.12,2.97,2.70,532.00,38.00,0
0.96,10.82,0.06,0.00,0.00,0.00,0.00,1.00,3.00,-2.14,3.00,1.00,0.19,0.68,1.36,2.65,3.04,113.00,16.00,0
1.43,10.89,0.17,0.00,0.00,0.00,0.00,1.00,3.00,-2.91,3.00,1.00,0.28,0.68,1.46,2.65,3.05,113.00,16.00,0
0.65,10.92,-0.02,0.00,0.75,0.00,0.00,1.00,2.00,-1.78,4.00,3.00,0.26,0.36,1.57,3.10,3.01,150.00,17.00,0
-0.02,10.76,-0.04,0.00,0.00,0.00,0.00,1.00,2.00,-1.41,4.00,3.00,0.28,0.60,1.63,2.72,3.03,114.00,15.00,0
0.97,10.41,-0.03,0.00,0.00,0.00,0.00,1.00,1.00,-1.26,3.00,1.00,0.26,0.50,1.45,2.50,2.79,62.00,11.00,0
1.11,10.56,-0.03,0.00,0.00,0.00,0.00,1.00,2.00,-1.71,3.00,1.00,0.22,0.44,1.40,2.73,2.85,87.00,13.00,0
0.18,10.71,-0.02,0.00,0.00,0.00,0.00,1.00,2.00,-1.41,4.00,3.00,0.29,0.40,1.63,2.92,2.95,117.00,14.00,0
0.85,10.58,0.01,0.00,0.00,0.00,0.00,1.00,1.00,-1.42,4.00,2.00,0.23,0.75,1.54,2.42,2.90,88.00,12.00,0
0.42,10.61,0.06,0.00,0.00,0.00,0.00,1.00,1.00,-1.41,4.00,2.00,0.23,0.75,1.54,2.42,2.90,88.00,12.00,0
0.34,10.45,0.04,0.00,0.00,0.00,0.00,1.00,1.00,-1.35,3.00,2.00,0.46,0.50,1.91,2.50,2.76,62.00,11.00,0
-4.76,30.14,-5.06,24.54,-0.80,0.00,0.00,4.00,0.00,-1.32,4.00,6.00,0.65,0.79,1.52,2.79,4.29,211.00,12.00,0
-2.40,19.79,-1.74,16.26,1.02,0.00,0.00,2.00,0.00,-0.78,2.00,4.00,0.49,1.00,1.53,2.32,2.91,151.00,7.00,0
-2.37,0.00,0.00,39.74,-0.17,27.45,-8.28,0.00,2.00,0.14,0.00,9.00,0.41,1.44,1.47,3.09,1.60,1130.00,53.00,0
-3.40,9.56,-0.77,7.87,0.66,0.00,0.00,1.00,0.00,0.40,1.00,2.00,0.62,0.00,1.67,2.58,2.66,32.00,3.00,0
1.56,11.27,-0.42,0.00,0.20,4.82,0.00,1.00,0.00,-2.21,5.00,3.00,0.28,0.31,1.53,3.39,2.67,262.00,19.00,0
1.76,10.53,-0.14,0.00,1.68,4.67,0.00,1.00,1.00,-1.45,2.00,2.00,0.18,0.22,1.31,2.95,2.99,108.00,7.00,0
2.77,11.02,-0.35,0.00,0.25,4.77,0.00,1.00,0.00,-3.41,6.00,2.00,0.13,0.63,1.31,3.18,2.41,367.00,17.00,0
3.01,11.20,-0.06,0.00,7.24,4.94,0.57,1.00,0.00,-2.99,2.00,2.00,0.14,0.73,1.24,2.97,2.07,286.00,16.00,0
3.92,11.17,-0.08,0.00,9.99,4.92,0.87,1.00,0.00,-4.04,2.00,2.00,0.12,1.20,1.20,2.71,1.94,462.00,18.00,0
4.83,11.20,-0.08,0.00,12.86,4.93,0.97,1.00,0.00,-5.12,2.00,2.00,0.10,1.50,1.17,2.59,1.85,698.00,20.00,0
3.47,11.17,-0.07,0.00,8.59,4.93,0.76,1.00,0.00,-3.51,2.00,2.00,0.13,1.05,1.22,2.75,2.00,367.00,17.00,0
4.38,11.18,-0.08,0.00,11.42,4.93,0.93,1.00,0.00,-4.58,2.00,2.00,0.11,1.35,1.19,2.65,1.89,572.00,19.00,0
2.56,0.00,0.00,9.61,0.72,10.02,0.00,0.00,2.00,-2.41,4.00,3.00,0.19,0.57,1.37,3.24,3.04,301.00,23.00,0
2.62,0.00,0.00,0.00,2.05,0.00,0.00,0.00,0.00,-2.60,2.00,2.00,0.32,1.00,1.35,2.00,2.53,84.00,5.00,0
2.68,11.09,-0.10,0.00,2.04,4.88,0.06,1.00,2.00,-2.18,2.00,2.00,0.14,0.36,1.25,3.10,3.53,176.00,12.00,0
1.70,10.90,-0.46,0.00,0.21,4.68,0.00,1.00,0.00,-1.84,4.00,2.00,0.25,0.36,1.47,3.10,2.34,171.00,15.00,0
