2.666,0,14377.2,0,2,1,1.105,377.908,377.187,-3.014,422.368,2,0,5,26,29,28,0,26,29,0,0,0,2,20,6,6,9,4,1,3,0,0,2,2,0,0,0,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,25,4,0,22,1,0,0,0,0,0,0,0,0,0,23,0,0,0,0,2,0,0,2,0,0,6,3,0,5,0,26,360.14,36.02,0.1,592.007,34.8966,0.058,520.123,0.73623,0.98659,387.726,521.319,3076.82,7894.6,1.53638,82.9645,3.71384,0.7901,285.467,339.763,2533.5,6130.92,18.0956,12.6522,11.3571,1.62408,0,9.83128,16.1974,10.0655,8.31384,1.12273,0,6.59984,1.25124,1.3152,1868,140,19.3222,18.0815,8.56632,7.74852,4.22448,3.73711,5.38864,26,29,41,9,0,56
0.276,0,7566.78,0,2,0,-1.284,208.264,208.144,0.278,243.997,2,2,6,15,16,16,0,15,16,0,0,0,0,12,1,6,0,2,1,2,0,0,0,2,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,13,3,0,10,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,6,6,2,6,4,15,224.68,84.3,0.375,397.96,140.416,0.352,344.714,0.65676,1.11699,169.466,240.215,718.58,1972.03,1.46906,45.541,2.78989,0.71409,132.757,160,669.026,1688.29,10.8365,7.14786,6.69748,1.19935,0,4.94215,8.84933,4.98485,3.79953,0.52541,0,2.577,2.04353,2.18045,368,76,11.4844,9.97483,4.88842,3.89682,2.98224,2.26996,2.59134,15,16,22,5,0,26
2.385,0,12892.6,0,2,1,0.824,342.435,342.206,-3.661,386.292,3,1,6,25,28,26,0,25,28,0,0,0,2,20,3,10,10,4,2,2,0,0,1,3,0,0,0,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,23,5,0,17,1,0,0,0,0,0,0,0,0,0,22,0,0,0,0,2,0,0,2,0,0,10,4,1,6,1,25,335.19,59.39,0.177,563.225,88.185,0.156,488.662,0.86562,0.23999,378.974,521.319,2641.64,7303.8,1.49748,76.3716,4.40385,0.94831,271.958,325.212,2175.85,5618.09,17.5517,12.0797,11.0779,1.75125,0,9.87158,15.1578,9.10671,7.37446,0.94553,0,5.93775,1.51117,1.58681,1499,138,18.3673,16.5432,7.55264,6.42437,3.45303,2.8308,4.25118,25,28,41,10,0,58
4.845,0,17494.5,0,2,0,3.285,418.359,417.137,-5.427,447.988,1,0,4,28,31,25,0,28,31,0,0,0,0,23,5,12,0,4,2,4,0,0,1,3,0,0,0,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,24,7,0,18,1,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,12,2,0,4,0,28,387.99,26.79,0.069,634.997,28.8659,0.045,572.463,0.59272,1.69677,417.81,552.659,3716.68,9188.94,1.55888,82.621,3.11057,0.64704,312.765,369.16,3083.22,7265.51,19.5099,13.5974,12.2704,1.77667,0,10.4365,17.3707,10.6541,8.44146,1.08286,0,6.31703,1.21139,1.26363,2441,148,21.2404,19.5614,9.87128,8.72643,5.38903,4.64565,6.09648,28,31,43,9,0,56
3.676,0,18273.9,0,2,0,2.115,451.949,451.178,-5.092,475.28,4,0,7,32,36,26,0,32,36,0,0,0,0,28,6,17,0,5,3,5,0,0,2,3,0,0,0,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,27,9,0,18,1,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,17,4,0,7,0,32,421.83,65.71,0.155,683.228,74.056,0.108,608.651,0.59285,1.73468,508.154,664.386,5258.75,12948.4,1.61901,93.9027,3.26531,0.65306,375.899,444.235,4202.59,9881.44,21.9156,15.6698,13.9817,1.82133,0,12.2062,18.6168,11.4819,8.76495,0.97933,0,6.53425,1.06142,1.11771,3604,172,23.7284,20.9725,11.16,9.30257,5.81421,4.66512,6.0968,32,36,50,10,0,67
3.566,0,16797.4,0,2,1,2.161,414.518,414.161,-4.982,447.451,2,4,6,29,32,26,0,29,32,0,0,0,0,22,7,12,0,4,2,3,0,0,1,3,0,0,0,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,25,7,0,19,1,0,0,0,0,0,0,0,0,0,27,0,0,0,0,3,0,0,0,0,0,12,6,4,6,4,29,380.94,116.12,0.304,643.082,179.256,0.278,567.904,0.70798,1.11601,432.909,568.43,3830.51,9922.33,1.59374,87.6559,3.74196,0.77027,326.548,384,3197.11,7913.01,20.217,14.1142,12.5634,1.70578,0,10.5958,16.9518,10.849,8.52577,0.91169,0,6.46122,1.32361,1.3804,2491,152,22.2031,20.2512,10.5434,9.19244,5.62663,4.76318,6.41925,29,32,44,9,0,58
3.016,0,13968.9,0,2,1,1.937,362.486,362.166,-4.427,397.122,1,4,5,25,28,26,0,25,28,0,0,0,2,18,4,6,8,4,1,2,0,0,3,1,0,0,0,7,5,1,1,0,0,0,0,0,0,0,0,0,0,0,24,4,0,21,1,0,0,0,0,0,0,0,0,0,24,0,0,0,0,4,0,0,0,0,0,6,5,4,5,4,25,344.52,106.89,0.31,539.46,173.225,0.321,472.968,0.76273,0.83019,403.144,584.267,2621.85,7292.9,1.56111,79.6167,3.81366,0.82122,271.958,325.212,2156.06,5614.77,17.9828,11.737,11.9848,2.91165,0,10.8114,15.7426,9.81616,9.46281,2.28081,0,8.23001,1.44562,1.49664,1506,146,18.3673,17.2162,6.26962,5.64298,2.74934,2.42074,3.88603,25,28,45,16,0,65
4.109,0,14482.1,0,2,1,2.958,376.513,376.182,-4.935,418.126,1,4,5,26,29,28,0,26,29,0,0,0,0,21,5,6,0,4,1,3,0,0,2,2,0,0,0,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,25,4,0,22,1,0,0,0,0,0,0,0,0,0,24,0,0,0,0,3,0,0,0,0,0,6,5,4,5,4,26,345.17,106.89,0.309,597.809,173.225,0.289,523.06,0.69156,1.21191,387.726,521.319,2974.23,7912.34,1.53638,82.9645,3.48852,0.74216,285.467,339.763,2438.32,6148.66,18.0956,12.631,11.4303,1.63774,0,9.83209,15.8555,10.7102,8.8991,1.00036,0,7.27651,1.3639,1.41122,1764,140,19.3222,18.1672,8.56632,7.80432,4.22448,3.77001,5.45318,26,29,41,9,0,56
3.037,0,13728.3,1,2,0,3.037,324.48,324.233,-7.721,414.203,0,0,2,24,26,30,0,24,26,1,0,0,0,18,6,12,0,3,2,3,0,0,0,3,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,20,6,0,14,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,12,1,1,2,1,24,338.59,20.23,0.059,574.797,41.4996,0.072,496.19,0.55441,1.8129,330.763,444.235,2246.48,6165.34,1.21203,65.4497,2.77205,0.60459,251.94,296.423,1954.87,5122.49,16.8826,11.6245,10.4006,1.90821,0,8.63203,14.8248,9.29442,7.54686,1.298,0,5.63512,1.73292,1.7681,1351,124,18.7811,17.1917,8.5895,7.49981,4.8034,4.07828,5.37228,24,26,36,10,0,46
3.428,0,14629.4,0,2,0,1.867,399.526,399.252,-3.634,457.486,3,0,6,29,33,33,0,29,33,0,0,0,2,23,6,6,8,5,1,3,0,0,4,1,0,0,0,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,29,4,0,26,1,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,2,0,0,0,6,4,0,6,0,29,394.84,45.25,0.114,613.079,40.9273,0.066,526.647,0.72396,1.08654,488.507,680.587,4120.66,10618.5,1.43779,89.1435,3.77143,0.77633,333.703,398.93,3183.91,7895.57,20.2254,13.8946,13.5475,2.80733,0,12.3251,17.9469,11.0428,9.9729,2.17114,0,8.41716,1.12997,1.18781,2473,168,20.8779,19.3404,7.84775,6.96345,3.55188,3.0746,4.644,29,33,51,16,0,73
