Index,Name,Muscarinic acetylcholine receptor M3,ALogP98,ALogP98_Unknown,Apol,FormalCharge,CoordDimension,IsChiral,LogD,Molecular_Weight,Molecular_Mass,Molecular_Solubility,VSA_TotalArea,HBA_Count,HBD_Count,NPlusO_Count,Num_Atoms,Num_Bonds,Num_Hydrogens,Num_ExplicitHydrogens,Num_ExplicitAtoms,Num_ExplicitBonds,Num_PositiveAtoms,Num_NegativeAtoms,Num_SpiroAtoms,Num_BridgeHeadAtoms,Num_RingBonds,Num_RotatableBonds,Num_AromaticBonds,Num_BridgeBonds,Num_Rings,Num_AromaticRings,Num_RingAssemblies,Num_Rings3,Num_Rings4,Num_Rings5,Num_Rings6,Num_Rings7,Num_Rings8,Num_Rings9Plus,Num_Chains,Num_ChainAssemblies,Num_Fragments,Num_ComplexedFragments,Num_MetalAtoms,Num_SGroups,Num_Superatoms,Num_Isotopes,Num_CustomData,Num_PiBonds,Num_RepeatUnits,Num_V3000Templates,Num_RGroupFragments,Num_StereoAtoms,Num_StereoBonds,Num_SingleBonds,Num_DoubleBonds,Num_TripleBonds,Num_AliphaticSingleBonds,Num_AliphaticDoubleBonds,Num_UnknownStereoAtoms,Num_UnknownStereoBonds,Num_DativeBonds,Num_HydrogenBonds,Num_AlleneStereoCenters,Num_AtropisomerCenters,Num_AxialStereoCenters,Num_TrueAlleneStereoCenters,Num_TrueAtropisomerCenters,Num_AtomClasses,Num_Macro_Chains,Num_Macro_Residues,Num_TerminalRotomers,Num_TrueStereoAtoms,Num_UnknownTrueStereoAtoms,Num_PseudoStereoAtoms,Num_UnknownPseudoStereoAtoms,Num_MesoStereoAtoms,Num_EnhancedStereoAtoms,Num_QueryAtoms,Num_QueryBonds,Num_H_Acceptors,Num_H_Donors,Num_H_Acceptors_Lipinski,Num_H_Donors_Lipinski,Organic_Count,Molecular_SurfaceArea,Molecular_PolarSurfaceArea,Molecular_FractionalPolarSurfaceArea,Molecular_SASA,Molecular_PolarSASA,Molecular_FractionalPolarSASA,Molecular_SAVol,BIC,CIC,E_ADJ_equ,E_ADJ_mag,E_DIST_equ,E_DIST_mag,IAC_Mean,IAC_Total,IC,SIC,V_ADJ_equ,V_ADJ_mag,V_DIST_equ,V_DIST_mag,CHI_0,CHI_1,CHI_2,CHI_3_C,CHI_3_CH,CHI_3_P,CHI_V_0,CHI_V_1,CHI_V_2,CHI_V_3_C,CHI_V_3_CH,CHI_V_3_P,JX,JY,Wiener,Zagreb,Kappa_1,Kappa_1_AM,Kappa_2,Kappa_2_AM,Kappa_3,Kappa_3_AM,PHI,SC_0,SC_1,SC_2,SC_3_C,SC_3_CH,SC_3_P
11,69438,8.75,3.116,0,"12,929.60",1,2,1,3.116,320.513,320.205,-7.05,399.924,1,0,2,22,24,30,0,22,24,1,0,0,0,17,4,6,0,3,1,3,0,0,1,2,0,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,21,3,0,18,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,2,0,0,0,0,0,6,2,0,2,0,22,329.91,34.53,0.104,544.176,40.5855,0.074,471.612,0.7178,1.04634,307.432,429.05,"1,745.72","5,134.58",1.31741,68.5055,3.41308,0.76536,225.723,268.078,"1,537.52","4,189.34",15.6315,10.4957,10.2766,2.57783,0,7.42424,15.0714,9.65844,9.12072,2.24645,0,6.52811,1.79188,1.85784,991,118,16.8438,16.3514,6.85714,6.54303,3.92561,3.71348,4.86307,22,24,35,11,0,44
12,82738,4.4,1.959,0,"12,283.10",0,2,1,0.398,311.378,311.163,-3.581,339.187,2,1,5,23,26,21,0,23,26,0,0,0,2,19,3,10,9,4,2,2,0,0,1,3,0,0,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,20,6,0,14,2,0,0,0,0,0,0,0,0,0,21,0,0,0,0,1,0,0,0,0,0,10,3,1,5,1,23,296.4,54.34,0.183,516.216,94.7678,0.183,451.733,0.7416,0.7826,342.861,474.842,"2,241.22","6,150.97",1.50369,66.1628,3.74095,0.82699,245.233,296.423,"1,793.92","4,627.64",15.9743,11.131,10.3377,1.60956,0,9.24126,13.2879,8.24872,6.71794,0.88268,0,5.32046,1.50089,1.56354,"1,195",128,16.4674,14.4521,6.71883,5.49341,3.13278,2.449,3.4518,23,26,38,9,0,53
13,87504,5.25,4.774,0,"11,075.10",0,2,1,3.239,343.503,343.251,-5.286,420.484,2,0,3,25,28,33,0,25,28,0,0,0,0,21,2,0,0,4,0,2,0,0,1,3,0,0,0,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,26,1,1,26,1,0,0,0,0,0,0,0,0,0,25,0,0,0,0,8,0,0,0,0,0,0,3,0,3,0,25,335.81,29.54,0.087,568.365,44.6464,0.078,483.74,0.74754,0.94039,378.974,521.319,"2,504.76","7,330.53",1.2619,73.1904,3.70346,0.79749,271.958,325.212,"2,067.46","5,637.41",17.5517,12.0585,11.1442,1.75224,0,9.95935,16.0394,10.4944,9.04559,1.23506,0,7.71488,1.57289,1.6119,"1,417",138,18.3673,17.5582,7.55264,7.04575,3.45303,3.17058,4.94842,25,28,41,10,0,58
14,88815,5,1.713,0,"8,378.26",0,2,1,0.204,211.327,211.114,-3.21,246.925,1,2,3,14,15,17,0,14,15,0,0,0,0,10,3,5,0,2,1,1,0,0,1,1,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,13,2,0,10,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,5,3,2,3,3,14,214.71,79.17,0.368,414.509,141.311,0.34,365.45,0.81824,0.42857,151.918,212.877,645.264,"1,685.22",1.48771,46.119,3.37878,0.88743,121.02,147.207,593.441,"1,425.75",9.96625,6.79202,5.91804,0.82613,0,4.62461,9.36219,6.08357,4.93101,0.59801,0,3.58831,1.91252,1.98805,318,70,10.5155,9.92662,4.67999,4.27526,2.53439,2.26589,3.03135,14,15,20,4,0,25
15,94171,6.14,4.19,0,"15,799.50",0,2,1,2.678,392.448,392.174,-4.821,415.499,4,1,6,29,33,24,0,29,33,0,0,0,0,25,4,16,0,5,3,1,0,0,1,4,0,0,0,4,3,1,1,0,1,0,0,1,0,0,0,0,0,0,25,8,0,16,1,0,0,0,0,0,0,0,0,0,29,0,0,0,0,1,0,0,0,0,0,16,5,1,6,1,29,370.97,63.79,0.171,603.952,78.0286,0.129,529.008,0.81934,0.43982,475.282,648.242,"3,774.56","10,675.40",1.49997,79.4988,4.41815,0.90946,333.703,398.93,"3,035.31","7,923.17",20.1206,14.1009,12.879,1.97266,0,11.6703,16.8727,9.99138,7.56571,0.94639,0,5.91264,1.54787,1.61948,"2,152",164,20.8779,18.5143,8.50145,7.0734,3.65123,2.91266,4.51582,29,33,49,12,0,72
16,99028,6.17,0.508,0,"5,710.80",0,2,1,-0.63,169.221,169.11,-1.236,200.578,2,1,3,12,13,15,0,12,13,0,0,0,2,9,2,0,9,2,0,1,0,0,1,1,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,12,1,0,12,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,3,1,3,1,12,163.63,38.33,0.234,343.661,64.6086,0.188,296.078,0.81026,0.5,126.279,186.117,429.148,"1,200.06",1.45367,39.2493,3.08496,0.86052,98.1059,122.211,383.456,986.742,8.55204,5.75402,5.41804,0.9457,0,3.90027,7.37697,4.68762,3.78457,0.44174,0,2.80044,1.8728,1.97227,191,62,8.59171,8.20018,3.39506,3.14775,1.8595,1.69482,2.15101,12,13,18,4,0,22
17,99081,4.82,1.044,0,"6,224.06",0,2,1,0.43,183.247,183.126,-0.812,222.653,2,0,3,13,14,17,0,13,14,0,0,0,2,9,2,0,9,2,0,1,0,0,1,1,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,13,1,0,13,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,13,185.2,29.54,0.159,358.066,44.6464,0.124,307.496,0.8684,0.30769,143.083,212.877,494.63,"1,436.39",1.41668,42.5006,3.39274,0.91684,109.466,134.606,452.857,"1,199.84",9.42228,6.18154,5.83928,1.07011,0,4.51644,8.32418,5.07388,4.20113,0.56313,0,3.3872,1.94724,2.05409,233,68,9.55102,9.15701,3.63,3.38693,1.77514,1.62772,2.3857,13,14,20,5,0,26
18,106293,7.32,0.503,0,"13,551.20",0,2,0,0.478,337.376,337.154,-2.169,356.775,3,2,7,25,28,19,0,25,28,0,0,0,0,23,2,12,0,4,2,2,0,0,0,3,1,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,20,8,0,14,2,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,12,5,2,7,2,25,315.65,77.57,0.245,546.456,104.98,0.192,481.588,0.69124,1.07019,366.423,490.261,"2,478.33","7,341.45",1.60991,70.8361,3.57366,0.76954,271.958,325.212,"2,031.36","5,646.75",17.2254,12.2372,10.8279,1.36155,0,9.32387,13.7351,8.35291,6.10114,0.58848,0,4.45414,1.68619,1.77272,"1,355",134,18.3673,15.74,8.34714,6.61919,3.98353,2.99129,4.16744,25,28,39,8,0,54
19,111258,9.32,5.977,0,"18,322.40",0,2,0,4.418,439.61,439.218,-7.12,500.224,3,0,4,31,34,33,0,31,34,0,0,0,0,24,6,12,0,4,2,4,0,0,0,4,0,0,0,7,4,1,1,0,0,0,0,0,0,0,0,0,0,0,25,9,0,19,3,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,12,4,0,4,0,31,415.45,54.99,0.132,698.685,84.1076,0.12,606.981,0.61418,1.62144,477.218,632.156,"4,565.93","11,360.80",1.41513,90.5687,3.33275,0.67271,354.371,413.947,"3,855.65","9,193.29",21.8467,14.9855,13.491,2.26259,0,11.9205,19.2413,12.8957,10.7803,1.51834,0,8.80412,1.35478,1.4014,"3,148",164,24.1349,22.2513,10.9505,9.6785,5.74218,4.94384,6.94707,31,34,48,12,0,64
20,114704,6.92,4.612,0,"20,749.60",0,2,0,3.052,510.688,510.255,-6.456,583.144,4,0,6,36,39,38,0,36,39,0,0,0,0,24,8,12,0,4,2,4,0,0,0,4,0,0,0,9,5,1,1,0,0,0,0,0,0,0,0,0,0,0,29,10,0,23,4,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,12,5,0,6,0,36,493.1,75.3,0.152,785.429,106.072,0.135,681.866,0.62394,1.66666,569.653,745.95,"6,351.16","15,537.20",1.47563,109.197,3.50325,0.67762,425.321,490.261,"5,517.41","12,945.50",25.7085,17.3281,15.5338,2.66496,0,13.6359,22.3038,14.5166,11.8505,1.69469,0,9.51048,1.26662,1.31619,"5,005",188,28.9941,26.5793,13.3752,11.7131,7.15856,6.09722,8.64797,36,39,55,14,0,73
21,114707,8.47,3.694,0,"18,242.50",0,2,0,2.133,440.598,440.213,-6.078,495.427,3,1,5,31,34,32,0,31,34,0,0,0,0,24,6,12,0,4,2,4,0,0,0,4,0,0,0,7,4,1,1,0,0,0,0,0,0,0,0,0,0,0,25,9,0,19,3,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,12,5,1,5,1,31,415.16,67.02,0.161,696.091,99.1949,0.142,605.425,0.61418,1.62144,477.218,632.156,"4,565.93","11,360.80",1.48757,93.7173,3.33275,0.67271,354.371,413.947,"3,855.65","9,193.29",21.8467,14.9855,13.491,2.26259,0,11.9205,19.0342,12.6028,10.4697,1.51834,0,8.5381,1.35128,1.40241,"3,148",164,24.1349,22.2128,10.9505,9.6529,5.74218,4.92799,6.91669,31,34,48,12,0,64
22,114739,8,4.153,0,"22,201.60",0,2,0,2.592,546.742,546.222,-6.25,598.861,5,0,7,37,40,38,0,37,40,0,0,0,0,24,9,12,0,4,2,4,0,0,0,4,0,0,0,10,5,1,1,0,0,0,0,0,0,0,0,0,0,0,29,11,0,23,5,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,12,6,0,7,0,37,509.19,100.75,0.197,810.185,145.533,0.179,704.767,0.62297,1.67567,600.295,795.526,"6,706.57","16,460.20",1.56699,117.525,3.53377,0.67833,439.734,505.754,"5,849.17","13,783.80",26.6312,17.6514,16.4432,3.45741,0,14.042,23.4368,16.149,14.0232,2.34405,0,11.5844,1.26015,1.3198,"5,372",196,29.97,27.9804,13.1094,11.7811,7.20498,6.34143,8.90921,37,40,58,17,0,76
23,114912,8.43,4.481,0,"20,581.20",0,2,0,2.921,512.661,512.234,-5.903,573.319,5,0,7,36,39,36,0,36,39,0,0,0,0,24,8,12,0,4,2,4,0,0,0,4,0,0,0,9,5,1,1,0,0,0,0,0,0,0,0,0,0,0,29,10,0,23,4,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,12,6,0,7,0,36,489.69,84.53,0.172,777.34,112.103,0.144,676.26,0.62394,1.66666,569.653,745.95,"6,351.16","15,537.20",1.52641,109.902,3.50325,0.67762,425.321,490.261,"5,517.41","12,945.50",25.7085,17.3281,15.5338,2.66496,0,13.6359,22.005,14.1558,11.4057,1.66741,0,9.21992,1.26101,1.31802,"5,005",188,28.9941,26.5404,13.3752,11.6869,7.15856,6.08068,8.61594,36,39,55,14,0,73
24,120674,5,4.02,0,"14,429.90",0,2,1,3.346,373.461,373.205,-5.246,433.616,2,1,4,27,29,28,0,27,29,0,0,0,0,18,7,12,0,3,2,3,0,0,0,3,0,0,0,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,23,6,0,17,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,1,0,0,0,0,0,12,4,1,4,1,27,369.23,41.93,0.113,619.217,59.3394,0.095,537.416,0.7023,1.15257,374.726,490.261,"3,151.67","7,883.47",1.46375,80.5065,3.60231,0.7576,292.06,339.763,"2,797.08","6,687.02",19.2254,13.1177,11.1784,1.49487,0,9.69251,16.0277,9.47805,7.08312,0.77345,0,5.46076,1.49919,1.56348,"2,146",136,21.7027,19.9575,10.6838,9.41945,5.75778,4.93157,6.96253,27,29,39,8,0,51
25,121331,6.48,1.147,0,"6,453.30",0,2,1,0.19,208.3,208.158,-2.206,277.025,1,0,3,15,15,20,0,15,15,0,0,0,0,5,4,0,0,1,0,1,0,0,1,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,13,1,1,13,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,15,236.75,23.55,0.099,425.856,33.7408,0.079,365.085,0.80902,0.53333,147.41,199.421,707.212,"1,676.06",1.37333,48.0668,3.37355,0.86348,127.465,147.207,723.342,"1,680.18",11.2591,7.10906,6.1618,0.9656,0,4.69571,9.91555,5.5514,4.11026,0.50759,0,2.88994,2.24425,2.34815,433,68,13.0667,12.0615,6.55401,5.77012,4.57142,3.92625,4.63974,15,15,19,4,0,21
26,134881,5.5,2.634,0,"8,136.34",0,2,1,1.447,237.338,237.173,-2.963,285.956,2,1,3,17,19,23,0,17,19,0,0,0,2,15,3,0,9,3,0,2,0,0,1,2,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,18,1,0,18,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,0,0,0,0,0,0,3,1,3,1,17,224.02,38.33,0.171,443.761,64.6086,0.145,379.418,0.67354,1.17647,214.699,296.423,"1,116.49","2,953.76",1.3383,53.5322,2.91099,0.71217,162.275,199.421,904.59,"2,271.13",11.6649,8.3265,7.39956,0.93982,0,6.25522,10.4899,7.29279,5.94696,0.55086,0,4.68913,1.48921,1.5515,532,90,12.0554,11.6676,5.32544,5.06776,2.7128,2.5519,3.47813,17,19,26,5,0,34
27,135547,5.13,1.711,0,"6,737.32",0,2,1,1.097,197.274,197.142,-1.086,244.046,2,0,3,14,15,19,0,14,15,0,0,0,2,9,3,0,9,2,0,1,0,0,1,1,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,14,1,0,14,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,14,201.05,29.54,0.146,382.846,44.6464,0.116,328.008,0.88041,0.28571,156.25,226.477,602.46,"1,691.37",1.38486,45.7006,3.52164,0.92495,121.02,147.207,553.904,"1,432.46",10.1294,6.71954,5.95885,0.95054,0,5.14432,9.03129,5.63454,4.43511,0.53873,0,3.64136,1.8979,1.99972,295,72,10.5155,10.1195,4.24489,3.98914,2.0204,1.86878,2.88344,14,15,21,5,0,28
