2,334.33,9,3,334.33,0,4,-0.15,-1.55,11691,-3.11,334.33,334.13,-0.51,332.68,5,3,9,24,27,18,24,27,16,4,0,4,0,1,7,6,22,5,22,24,8,3,9,5,24,318.37,146.88,0.46,469.21,224.51,0.48,409.37
5,218.26,4,1,218.26,0,2,1.65,2.12,8737.12,1.6,218.25,218.11,-2.35,246.9,2,1,4,16,17,14,16,17,11,2,6,2,1,2,5,4,12,5,9,14,2,1,4,1,16,218.12,49.41,0.23,390.49,80.54,0.21,342.88
6,209.24,4,2,209.24,0,5,1.09,1.61,8166.8,1.61,209.24,209.11,-2.29,249.94,2,1,4,15,15,15,15,15,6,5,6,1,1,1,4,1,11,4,8,13,3,2,4,3,15,220.77,72.55,0.33,396.88,137.55,0.35,346.2
8,308.38,4,0,308.38,0,5,3.52,4.1,13290.4,3.95,307.37,307.15,-3.97,347.3,2,0,4,23,25,19,23,25,17,5,12,3,2,3,5,5,17,8,11,12,2,0,4,0,23,295.83,48.15,0.16,526.29,60.58,0.12,465.05
11,238.25,7,1,238.25,0,2,-0.4,0.26,8379.62,-0.26,238.24,238.11,-0.85,256.1,3,1,7,17,18,14,17,18,10,2,5,2,1,1,6,5,14,4,11,17,4,1,7,1,17,245.21,78.67,0.32,405.64,124.53,0.31,356.44
12,152.18,4,2,152.18,0,0,-0.25,0.32,6489.5,0.44,153.19,153.02,-0.91,144.97,1,2,4,10,11,5,10,11,10,0,5,2,1,1,1,1,7,4,4,10,2,3,4,3,10,141.43,86.77,0.61,309.23,178.15,0.58,286.75
13,266.39,2,1,266.39,0,4,4.8,2.62,11763.7,2.56,267.39,267.19,-5.01,329.78,0,0,2,20,22,23,20,22,17,4,12,3,2,1,1,1,16,6,10,13,1,1,2,2,20,271.81,19.85,0.07,482.08,11.78,0.02,419.54
14,277.41,1,0,277.41,0,3,4.95,3.21,12671.6,3.34,278.41,278.19,-7.17,349.1,0,0,1,21,23,24,21,23,17,3,12,3,2,1,2,1,16,7,10,13,0,1,1,1,21,287.76,4.44,0.02,512.89,0,0,446.31
15,280.41,2,0,280.41,1,4,5.01,2.83,12277,2.77,281.42,281.2,-5.74,353.33,0,0,2,21,23,25,21,23,17,4,12,3,2,1,2,1,17,6,11,13,1,1,2,1,21,289.56,7.68,0.03,513.92,11.78,0.02,445.42
18,281.36,4,2,281.36,0,4,1.11,2.97,12063.3,2.97,281.35,281.15,-3.63,322.53,1,2,4,21,23,19,21,23,17,4,12,3,2,3,4,3,16,7,10,19,4,2,4,2,21,277.67,47.86,0.17,506.74,71.56,0.14,444.26
19,327.12,6,2,327.12,0,1,4.56,2.89,13613.9,3.6,326.11,324.98,-5.11,297.69,1,1,6,21,22,7,21,22,12,3,12,2,2,2,7,5,14,8,8,21,4,1,6,1,21,294.29,97.97,0.33,473.15,167.06,0.35,443.73
21,182.17,6,6,182.17,1,5,-3.01,-2.94,5289.12,-2.94,182.17,182.08,0.73,214.14,0,6,6,12,11,14,12,11,0,5,0,0,0,0,5,1,11,0,11,12,6,6,6,6,12,192.5,121.38,0.63,337.89,229.66,0.68,292.63
24,298.34,6,3,298.34,0,6,0.32,1.29,12302.6,0.39,297.33,297.14,-3.84,334.92,3,2,6,22,23,17,22,23,12,7,12,2,2,2,3,1,15,8,9,18,4,2,6,2,22,297.73,85.19,0.29,525.64,114.73,0.22,465.65
25,204.24,6,0,204.24,0,3,2.56,1.45,7057.56,1.45,204.23,204.11,1.43,202.12,3,0,6,15,18,12,15,18,15,3,6,4,1,4,3,3,15,3,12,4,6,0,6,0,15,185.16,47.7,0.26,362.58,44.7,0.12,317.63
26,130.08,4,2,130.08,0,0,-0.81,-0.91,4206.74,-1.08,130.08,130.02,-1.24,118.44,2,2,4,9,9,3,9,9,6,0,0,1,0,1,3,3,6,3,6,9,2,2,4,2,9,113.37,58.2,0.51,269.42,100.5,0.37,241.25
